,Unnamed: 0,Emote,Number of times emote was toxic,Number of times emote was NOT toxic,Global emote,Channel emote,Toxicity Ratio,Harmful score
0,82,Gayge,7,4,True,False,0.6363636363636364,11.636363636363637
1,97,Wokege,16,11,False,HasanAbi,0.5925925925925926,27.59259259259259
2,99,Sussy,56,13,False,HasanAbi,0.8115942028985508,69.81159420289855
3,105,pepeMeltdown,10,7,False,HasanAbi,0.5882352941176471,17.58823529411765
4,110,monkaS,6,3,True,False,0.6666666666666666,9.666666666666666
5,112,has0head,8,2,False,HasanAbi,0.8,10.8
6,126,DANKHACKERMANS,6,1,False,HasanAbi,0.8571428571428571,7.857142857142857
7,160,PepeSpit,21,12,False,HasanAbi,0.6363636363636364,33.63636363636363
8,168,hasSammie,4,0,False,HasanAbi,1.0,5.0
9,171,PoroSad,1,1,True,False,0.5,2.5
10,172,StinkyCheese,1,0,True,False,1.0,2.0
11,178,MmmHmm,1,0,False,HasanAbi,1.0,2.0
12,179,WhatChamp,8,1,False,HasanAbi,0.8888888888888888,9.88888888888889
13,180,PUNCHIES,1,0,False,HasanAbi,1.0,2.0
14,181,DIESOFCRINGE,1,0,False,HasanAbi,1.0,2.0
15,198,hasKapp,1,1,False,HasanAbi,0.5,2.5
16,207,hasSilly,4,0,False,HasanAbi,1.0,5.0
17,208,FLUSH,8,2,False,HasanAbi,0.8,10.8
18,215,Tastge,2,1,False,HasanAbi,0.6666666666666666,3.6666666666666665
19,224,KKona,1,1,True,False,0.5,2.5
20,230,RIDING,7,1,False,HasanAbi,0.875,8.875
21,231,ItalianHands,1,0,False,HasanAbi,1.0,2.0
22,255,HarleyWink,1,0,True,False,1.0,2.0
23,256,DarkKnight,1,0,True,False,1.0,2.0
24,269,TransgenderPride,5,0,True,False,1.0,6.0
25,270,Grrr,2,1,False,HasanAbi,0.6666666666666666,3.6666666666666665
26,271,:P,1,0,True,False,1.0,2.0
27,285,dankCrayon,3,1,False,HasanAbi,0.75,4.75
28,298,peepoBye,1,0,False,HasanAbi,1.0,2.0
